[01:26:14] New map: gm_flatgrass
[01:56:29] haveaniceday.<STEAM_0:0:136760122> spawned ragdoll models/humans/charple01.mdl
[01:56:29] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[01:56:48] RusLanConnection killed haveaniceday. using player
[01:57:42] RusLanConnection killed haveaniceday. using tacrp_proj_40mm_he
[01:57:57] RusLanConnection killed haveaniceday. using tacrp_proj_40mm_he
[01:58:13] RusLanConnection killed haveaniceday. using tacrp_proj_40mm_he
[01:58:13] RusLanConnection suicided!
[01:58:18] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_att_ammo_40mm_gas
[01:58:18] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_att_ammo_40mm_heat
[01:58:18] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_att_ammo_40mm_ratshot
[01:58:19] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_att_ammo_40mm_smoke
[01:58:19] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_att_ammo_40mm_3gl
[01:58:19] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_att_ammo_40mm_buck
[01:58:27] haveaniceday.<STEAM_0:0:136760122> spawned sent tacrp_ammo
[01:58:27] haveaniceday.<STEAM_0:0:136760122> spawned sent tacrp_ammo
[01:58:27] haveaniceday.<STEAM_0:0:136760122> spawned sent tacrp_ammo
[01:58:33] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_wasteland/laundry_cart002.mdl
[01:59:05] haveaniceday. killed RusLanConnection using player
[01:59:12] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_wasteland/laundry_cart001.mdl
[01:59:20] RusLanConnection killed haveaniceday. using tacrp_riot_shield
[02:00:21] RusLanConnection killed haveaniceday. using tacrp_knife
[02:00:33] RusLanConnection killed haveaniceday. using tacrp_knife
[02:01:22] haveaniceday.<STEAM_0:0:136760122> spawned sent item_healthkit
[02:01:22] haveaniceday.<STEAM_0:0:136760122> spawned sent item_healthkit
[02:01:22] haveaniceday.<STEAM_0:0:136760122> spawned sent item_healthkit
[02:01:31] haveaniceday. killed RusLanConnection using player
[02:01:47] haveaniceday.<STEAM_0:0:136760122> spawned sent tacrp_ammo
[02:01:47] haveaniceday.<STEAM_0:0:136760122> spawned sent tacrp_ammo
[02:01:47] haveaniceday.<STEAM_0:0:136760122> spawned sent tacrp_ammo
[02:02:00] RusLanConnection killed haveaniceday. using tacrp_knife
[02:02:25] haveaniceday. killed RusLanConnection using player
[02:02:29] RusLanConnection killed haveaniceday. using tacrp_knife
[02:02:45] RusLanConnection killed haveaniceday. using tacrp_knife
[02:03:26] RusLanConnection killed haveaniceday. using tacrp_knife
[02:03:31] haveaniceday. killed RusLanConnection using tacrp_knife2
[02:03:48] RusLanConnection killed haveaniceday. using tacrp_knife
[02:04:42] RusLanConnection killed haveaniceday. using player
[02:05:23] haveaniceday. killed RusLanConnection using tacrp_knife2
[02:05:59] haveaniceday. killed RusLanConnection using tacrp_knife2
[02:06:15] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:06:18] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:06:25] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:06:38] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:06:43] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:06:57] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:07:07] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:07:17] haveaniceday. killed RusLanConnection using tacrp_knife
[02:07:40] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:07:44] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:07:59] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:08:11] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:08:20] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:08:30] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:08:36] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:08:46] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:09:09] haveaniceday. killed RusLanConnection using player
[02:09:34] haveaniceday. killed RusLanConnection using player
[02:09:50] haveaniceday.<STEAM_0:0:136760122> spawned vehicle models/buggy.mdl
[02:09:51] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:10:27] haveaniceday.<STEAM_0:0:136760122> spawned vehicle models/buggy.mdl
[02:10:45] RusLanConnection killed haveaniceday. using tacrp_knife2
[02:11:03] haveaniceday.<STEAM_0:0:136760122> spawned vehicle models/buggy.mdl
[02:11:03] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_vehicles/car004a_physics.mdl
[02:11:21] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[02:11:21] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[02:11:21] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[02:11:21] haveaniceday.<STEAM_0:0:136760122> spawned ragdoll models/humans/charple01.mdl
[02:11:21] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[02:11:23] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[02:11:23] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[02:11:23] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
