[04:24:20] RusLanConnection<STEAM_0:0:238810681> spawned sent aim_120d_amraam_guided
[04:24:29] RusLanConnection<STEAM_0:0:238810681> spawned sent aim_120d_amraam_guided
[04:24:30] RusLanConnection<STEAM_0:0:238810681> spawned sent aim_120d_amraam_guided
[04:24:31] RusLanConnection<STEAM_0:0:238810681> spawned sent aim_120d_amraam_guided
[04:24:32] RusLanConnection<STEAM_0:0:238810681> spawned sent aim_120d_amraam_guided
[04:24:33] RusLanConnection<STEAM_0:0:238810681> spawned sent aim_120d_amraam_guided
[04:24:37] RusLanConnection<STEAM_0:0:238810681> spawned sent agm_65_guided
[04:24:37] RusLanConnection<STEAM_0:0:238810681> spawned sent aim_120d_amraam_guided
[04:24:38] RusLanConnection<STEAM_0:0:238810681> spawned sent aim_120d_amraam_guided
[04:24:47] RusLanConnection<STEAM_0:0:238810681> spawned sent av_tm_300_guided
[04:24:55] RusLanConnection<STEAM_0:0:238810681> spawned sent av_tm_300_guided
[04:25:01] RusLanConnection<STEAM_0:0:238810681> spawned sent av_tm_300_guided
[04:25:15] RusLanConnection<STEAM_0:0:238810681> spawned sent amraam_launcher
[04:25:37] RusLanConnection<STEAM_0:0:238810681> spawned sent rgm_harpoon_launcher
[04:25:47] RusLanConnection<STEAM_0:0:238810681> spawned sent rgm_84_harpoon_guided
[04:26:00] RusLanConnection<STEAM_0:0:238810681> spawned sent ir_target
[04:26:03] RusLanConnection<STEAM_0:0:238810681> spawned sent av_tm_300_guided
[04:26:13] RusLanConnection<STEAM_0:0:238810681> spawned sent av_tm_300_guided
[04:26:20] RusLanConnection<STEAM_0:0:238810681> spawned sent av_tm_300_guided
[04:26:39] RusLanConnection<STEAM_0:0:238810681> spawned sent mbda_meteor_guided
[04:26:47] RusLanConnection<STEAM_0:0:238810681> spawned sent rgm_84_harpoon_guided
[04:26:53] RusLanConnection<STEAM_0:0:238810681> spawned sent rgm_84_harpoon_guided
[04:26:58] RusLanConnection<STEAM_0:0:238810681> spawned sent rgm_84_harpoon_guided
[04:27:05] RusLanConnection<STEAM_0:0:238810681> spawned sent rgm_84_harpoon_guided
[04:27:15] RusLanConnection<STEAM_0:0:238810681> spawned sent bgm_109_tomahawk_guided
[04:27:21] RusLanConnection<STEAM_0:0:238810681> spawned sent bgm_109_tomahawk_guided
[04:27:29] RusLanConnection killed RusLanConnection
[04:28:30] RusLanConnection<STEAM_0:0:238810681> spawned sent rgm_84_harpoon_guided
[04:28:33] RusLanConnection<STEAM_0:0:238810681> spawned sent mbda_meteor_guided
[04:28:37] RusLanConnection<STEAM_0:0:238810681> spawned sent av_tm_300_guided
[04:34:31] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[04:35:35] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznuke
[04:36:00] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[04:36:55] RusLanConnection killed RusLanConnection
[04:37:29] Server is shutting down/changing levels.
