[19:16:15] New map: gm_sro
[19:35:17] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_lanrp_jmod_kar98k
[19:35:21] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezweapon_ssr
[19:35:25] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezworkbench
[19:35:28] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezbattery
[19:35:33] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezammo
[19:35:36] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezgas
[19:36:28] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezincendiarybomb
[19:36:28] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezincendiarybomb
[19:36:29] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezincendiarybomb
[19:36:38] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eztnt
[19:37:00] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezwood
[19:37:01] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezbasicparts
[19:37:07] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezweapon_ssr
[19:37:12] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezammo
[19:37:39] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:37:43] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eztnt
[19:38:08] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezfirenade
[19:38:22] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezfirenade
[19:38:31] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eznukerocket
[19:38:33] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezfirenade
[19:38:41] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezfirenade
[19:39:19] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezcsnade
[19:39:55] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:39:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/jmod_scrounge/logs.mdl
[19:39:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_c17/furniturebed001a.mdl
[19:39:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_c17/furnituredrawer001a.mdl
[19:39:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/popcan01a.mdl
[19:39:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/jmod_scrounge/glassbottle01a_jmod.mdl
[19:39:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_vehicles/carparts_tire01a.mdl
[19:39:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/jmod_scrounge/terracotta01_jmod.mdl
[19:39:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/garbage_metalcan002a.mdl
[19:39:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/metalbucket02a.mdl
[19:39:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_vehicles/carparts_tire01a.mdl
[19:39:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/jmod_scrounge/logs.mdl
[19:39:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/jmod_scrounge/glassjug01_jmod.mdl
[19:39:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/jmod/resources/rock05a.mdl
[19:39:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/jmod_scrounge/logs.mdl
[19:39:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/metal_paintcan001a.mdl
[19:39:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_borealis/mooring_cleat01.mdl
[19:40:04] RusLanConnection was killed by ent_jack_gmod_ezsentry
[19:41:14] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[19:41:45] RusLanConnection was killed by ent_jack_gmod_ezsentry
[19:42:02] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eztoolbox
[19:42:20] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_trailer_sa34
[19:42:21] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_trailer_schneider
[19:42:25] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezhebomb
[19:42:34] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eztoolbox
[19:42:41] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezclusterbomb
[19:43:02] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezclusterbomb
[19:43:26] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezbasicparts
[19:43:26] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezbasicparts
[19:43:33] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezfissilematerial
[19:43:38] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezclusterbomb
[19:43:43] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezprecparts
[19:43:46] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezexplosives
[19:43:46] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezexplosives
[19:43:50] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_trailer_schneider
[19:43:53] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezclusterbomb
[19:43:54] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezpropellant
[19:43:54] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezpropellant
[19:44:13] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezclusterbomb
[19:44:17] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eznukerocket
[19:44:36] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezclusterbomb
[19:44:38] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezchlorinebomb
[19:44:52] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezclusterbomb
[19:45:12] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezclusterbomb
[19:45:18] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezclusterbomb
[19:45:41] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezclusterbomb
[19:45:51] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezclusterbomb
[19:46:37] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezsticknade
[19:46:45] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezsticknade
[19:46:47] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eztnt
