[14:51:52] New map: gm_csgoagency
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f2.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_survival/cash/dufflebag.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/organizer.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/keyboard.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate1x1.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card0.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/mouse.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/bm_trolley01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_1_f1.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/organizer.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_6.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15_f4.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/ez2models/props/cs_office/chair_office.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_oscillator4.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/officedesk_clean4.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/mark2580/gtav/barstuff/glass_06.mdl
[14:53:42] Server is shutting down/changing levels.



[14:54:05] New map: gm_csgoagency
[14:54:50] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/printer.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_cor_cemtrolly.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/monitor.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_01_f1.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/pencup.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/cj_trolley_rub.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f6.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/binder2.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f4.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/furious964/props/computer.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/bm_rub_battery.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_benchset1.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/furious964/props/tv6.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/mark2580/gtav/barstuff/whiskey_bottle_2.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/monitor.mdl
[14:54:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
